       Step     Time          Energy          fmax
FIRE2:    0 13:37:02      -47.819878        0.005374
FIRE2:    1 13:37:02      -47.819881        0.005217
FIRE2:    2 13:37:02      -47.819885        0.004909
FIRE2:    3 13:37:02      -47.819889        0.004457
FIRE2:    4 13:37:02      -47.819885        0.003876
FIRE2:    5 13:37:03      -47.819889        0.003181
FIRE2:    6 13:37:03      -47.819893        0.002393
FIRE2:    7 13:37:03      -47.819893        0.001535
FIRE2:    8 13:37:03      -47.819893        0.000631
FIRE2:    9 13:37:03      -47.819897        0.000290
FIRE2:   10 13:37:03      -47.819897        0.000058
FIRE2:   11 13:37:03      -47.819897        0.000056
FIRE2:   12 13:37:03      -47.819897        0.000056
FIRE2:   13 13:37:03      -47.819897        0.000054
FIRE2:   14 13:37:03      -47.819897        0.000052
FIRE2:   15 13:37:03      -47.819893        0.000049
FIRE2:   16 13:37:03      -47.819893        0.000047
FIRE2:   17 13:37:03      -47.819893        0.000044
FIRE2:   18 13:37:03      -47.819893        0.000042
FIRE2:   19 13:37:03      -47.819897        0.000036
FIRE2:   20 13:37:04      -47.819897        0.000033
FIRE2:   21 13:37:04      -47.819893        0.000029
FIRE2:   22 13:37:04      -47.819893        0.000023
FIRE2:   23 13:37:04      -47.819893        0.000021
FIRE2:   24 13:37:04      -47.819897        0.000015
FIRE2:   25 13:37:04      -47.819893        0.000010
